tradingsymbol,exchange,trigger_type,trigger_values,last_price,transaction_type,quantity,price,status,gtt_id,created_at,expires_at
RELAXO,NSE,two-leg,400;450,421.65,SELL,60,400.0,active,276606856,2025-06-14 22:42:51,2026-06-14 22:42:51
RELAXO,NSE,two-leg,400;450,421.65,SELL,60,450.0,active,276606856,2025-06-14 22:42:51,2026-06-14 22:42:51
HDFCBANK,NSE,single,1450,1480.0,BUY,20,1450.0,active,276606855,2025-06-14 22:42:50,2026-06-14 22:42:50
SBIN,NSE,single,570,580.0,BUY,50,570.0,active,276606854,2025-06-14 22:42:50,2026-06-14 22:42:50
TCS,NSE,single,3400,3480.0,BUY,5,3400.0,active,276606853,2025-06-14 22:42:50,2026-06-14 22:42:50
INFY,NSE,single,800,805.0,BUY,10,800.0,active,276606852,2025-06-14 22:42:50,2026-06-14 22:42:50
HAPPSTMNDS,NSE,single,595,616.5,BUY,50,595.0,active,276287445,2025-06-12 10:22:01,2026-06-12 10:22:01
LT,BSE,single,3333,3688.9,BUY,10,3333.0,active,275973224,2025-06-10 12:09:04,2026-06-10 12:09:04
HPL,NSE,single,360,411.8,BUY,80,360.0,active,268736975,2025-04-08 09:44:08,2026-04-08 09:44:08
GOLDIETF,BSE,single,64,65.85,BUY,1000,64.0,active,254600074,2024-12-23 11:40:26,2025-12-23 11:40:26
BAJFINANCE,NSE,single,6600,6851.25,BUY,10,6500.0,active,252236850,2024-12-06 10:46:10,2025-12-06 10:46:10
PRINCEPIPE,BSE,single,620,543.05,SELL,139,620.0,active,243693586,2024-10-15 00:38:06,2025-10-15 00:38:06
SIS,BSE,single,450,405.55,SELL,25,450.0,active,243921822,2024-10-15 23:11:55,2025-10-15 23:11:55
LICHSGFIN,BSE,single,720,625.45,SELL,50,720.0,active,243921706,2024-10-15 23:10:51,2025-10-15 23:10:51
HLEGLAS,NSE,single,500,387.45,SELL,50,500.0,active,243921405,2024-10-15 23:07:10,2025-10-15 23:07:10
NHPC,BSE,single,100,91.06,SELL,250,100.0,active,243693236,2024-10-15 00:29:03,2025-10-15 00:29:03
RUPA,BSE,single,300,289.0,SELL,100,300.0,active,243693199,2024-10-15 00:28:01,2025-10-15 00:28:01
SAIL,BSE,single,140.95,134.25,SELL,400,140.95,active,243693152,2024-10-15 00:26:56,2025-10-15 00:26:56
NLCINDIA,BSE,single,290,267.25,SELL,10,290.0,active,243693055,2024-10-15 00:24:40,2025-10-15 00:24:40
MAPMYINDIA,NSE,single,2300,2150.7,SELL,12,2300.0,active,243692904,2024-10-15 00:21:16,2025-10-15 00:21:16
EQUITASBNK,NSE,single,83,74.11,SELL,126,83.0,active,243692744,2024-10-15 00:17:27,2025-10-15 00:17:27
BDL,NSE,single,825,1149.4,BUY,40,825.0,active,239653115,2024-09-23 09:07:35,2025-09-23 09:07:35
JMFINANCIL,NSE,single,72,101.85,BUY,350,72.0,active,235102783,2024-08-28 23:02:22,2025-08-28 23:02:22
MINDACORP,NSE,single,400,590.0,BUY,100,400.0,active,234843363,2024-08-27 17:37:12,2025-08-27 17:37:12
PEL,NSE,single,810,882.4,BUY,30,800.0,active,232755310,2024-08-15 16:14:30,2025-08-15 16:14:30
IDFCFIRSTB,BSE,single,84,72.86,SELL,400,84.0,active,231920998,2024-08-11 23:02:56,2025-08-11 23:02:56
CAPACITE,NSE,single,270,342.55,BUY,110,270.0,active,228519007,2024-07-26 12:24:59,2025-07-26 12:24:59
IDEAFORGE,NSE,single,840,742.75,SELL,50,840.0,active,229603111,2024-07-31 23:43:43,2025-07-31 23:43:43
GREAVESCOT,NSE,single,121,163.98,BUY,200,121.0,active,228632902,2024-07-26 23:37:40,2025-07-26 23:37:40
GAEL,NSE,single,200,137.69,SELL,220,144.57,active,228056329,2024-07-24 23:19:59,2025-07-24 23:19:59
